lampiran,page_approx,kode,mapel
LAMPIRAN I,7,I,CAPAIAN PEMBELAJARAN PAUD
LAMPIRAN II,23,I.1,CAPAIAN PEMBELAJARAN PENDIDIKAN AGAMA ISLAM DAN BUDI
LAMPIRAN II,30,I.2,CAPAIAN PEMBELAJARAN PENDIDIKAN AGAMA KRISTEN DAN
LAMPIRAN II,43,I.3,CAPAIAN PEMBELAJARAN PENDIDIKAN AGAMA KATOLIK DAN BUDI
LAMPIRAN II,52,I.4,CAPAIAN PEMBELAJARAN PENDIDIKAN AGAMA HINDU DAN BUDI
LAMPIRAN II,59,I.5,CAPAIAN PEMBELAJARAN PENDIDIKAN AGAMA BUDDHA DAN
LAMPIRAN II,67,I.6,CAPAIAN PEMBELAJARAN PENDIDIKAN AGAMA KHONGHUCU DAN
LAMPIRAN II,88,III.1,CAPAIAN PEMBELAJARAN BAHASA INDONESIA
LAMPIRAN II,100,III.2,CAPAIAN PEMBELAJARAN BAHASA INDONESIA TINGKAT LANJUT
LAMPIRAN II,106,IV.1,CAPAIAN PEMBELAJARAN MATEMATIKA
LAMPIRAN II,120,IV.2,CAPAIAN PEMBELAJARAN MATEMATIKA TINGKAT LANJUT
LAMPIRAN II,126,V.1,CAPAIAN PEMBELAJARAN BAHASA INGGRIS
LAMPIRAN II,139,V.2,CAPAIAN PEMBELAJARAN BAHASA INGGRIS TINGKAT LANJUT
LAMPIRAN II,146,VI,CAPAIAN PEMBELAJARAN ILMU PENGETAHUAN ALAM DAN SOSIAL
LAMPIRAN II,153,VII,CAPAIAN PEMBELAJARAN ILMU PENGETAHUAN ALAM (IPA)
LAMPIRAN II,160,VIII,CAPAIAN PEMBELAJARAN FISIKA
LAMPIRAN II,166,IX,CAPAIAN PEMBELAJARAN KIMIA
LAMPIRAN II,172,X,CAPAIAN PEMBELAJARAN BIOLOGI
LAMPIRAN II,177,XI,CAPAIAN PEMBELAJARAN INFORMATIKA
LAMPIRAN II,186,XII,CAPAIAN PEMBELAJARAN ILMU PENGETAHUAN SOSIAL
LAMPIRAN II,195,XIII.1,CAPAIAN PEMBELAJARAN SEJARAH
LAMPIRAN II,201,XIII.2,CAPAIAN PEMBELAJARAN SEJARAH TINGKAT LANJUT
LAMPIRAN II,207,XIV,CAPAIAN PEMBELAJARAN GEOGRAFI
LAMPIRAN II,214,XV,CAPAIAN PEMBELAJARAN EKONOMI
LAMPIRAN II,220,XVI,CAPAIAN PEMBELAJARAN SOSIOLOGI
LAMPIRAN II,227,XVII,CAPAIAN PEMBELAJARAN ANTROPOLOGI
LAMPIRAN II,234,XVIII.1,CAPAIAN PEMBELAJARAN SENI MUSIK
LAMPIRAN II,243,XVIII.2,CAPAIAN PEMBELAJARAN SENI RUPA
LAMPIRAN II,250,XVIII.3,CAPAIAN PEMBELAJARAN SENI TARI
LAMPIRAN II,260,XVIII.4,CAPAIAN PEMBELAJARAN SENI TEATER
LAMPIRAN II,268,XIX.1,CAPAIAN PEMBELAJARAN PRAKARYA BUDI DAYA
LAMPIRAN II,273,XIX.2,CAPAIAN PEMBELAJARAN PRAKARYA KERAJINAN
LAMPIRAN II,278,XIX.3,CAPAIAN PEMBELAJARAN PRAKARYA PENGOLAHAN
LAMPIRAN II,282,XIX.4,CAPAIAN PEMBELAJARAN PRAKARYA REKAYASA
LAMPIRAN II,287,XX.1,CAPAIAN PEMBELAJARAN PRAKARYA DAN KEWIRAUSAHAAN BUDI
LAMPIRAN II,290,XX.2,CAPAIAN PEMBELAJARAN PRAKARYA DAN KEWIRAUSAHAAN
LAMPIRAN II,295,XX.3,CAPAIAN PEMBELAJARAN PRAKARYA DAN KEWIRAUSAHAAN
LAMPIRAN II,298,XX.4,CAPAIAN PEMBELAJARAN PRAKARYA DAN KEWIRAUSAHAAN
